Job Title,Job Link,Job ID,Company Name,Location,Job Posting,Salary,Job Description
Front-End UI/Mobile Developer,https://malaysia.indeed.com/rc/clk?jk=db81ca226965e91f&fccid=4b841d912d46e4fd&vjs=3,job_db81ca226965e91f,Luxoft,Kuala Lumpur,"Posted
Today",,"Project Description
One of the leading Malaysian banks needs to continue software development work for web, mobile, APIs, database, integration, etc. The deliverables would include a web/mobile app with micro-services (Spring boot+Docker+Kubernetes) back end and MySQL database. There will be various integrations to the current sub-systems of the bank.
Responsibilities
You will be required to work closely with the Development Manager, Project Manager, and a team of developers.

Technical Roles and Responsibilities
Demonstrate a systematic and disciplined architecture, system design, and programming approach following a standard software development lifecycle
Meticulous attention to detail and a strong focus on clear and practical documentation
Work closely with senior management, the Development Manager, the Project Manager, and a team of developers.
Design, Code, Unit Test, and support Software components
Deliver quality software in time following standard software development processes
Analyze problems raised in software development or production environments and provide timely solutions
Develop, prepare, and maintain system documentation, including program descriptions, operational procedures, etc.
Act as the second line of support during production problems.
Skills
Must have
Overall 4+ years of experience as a Front-End Developer

Technical Knowledge
You must have a demonstrable ability to produce high-quality UI and UX
Sound understanding of JavaScript (ES6), Angular7+, HTML5, CSS3, SASS
Experience with Bootstrap and knowledge of Node JS, and Backbone.
Experience of Apache Cordova
Experience with Xcode/Android Studio for mobile development and deployment
Knowledge of open-source solutions and trending technologies
Exposure to broader web technologies such as REStful APIs
Knowledge of Java, Scala, and the JVM.
Strong understanding of web standards, security, accessibility, browser compatibility,
Development Tools
Demonstrable Experience with TDD and BDD Knowledge with tools such as JavaScript, Mocha, Karma, JUnit, ScalaTest, AssertJ, and Cucumber
Exposure to Continuous Build and Deployment Solutions such as Jenkins / Bamboo
Exposure to GIT, Jira, and Stash

Development Methodologies and Practices
Worked within an Agile environment using methodologies such as Scrum / KanBan / XP and Lean
Sounds and Demonstrable knowledge of Design Patterns, OO Programming, and when to use patterns including Knowledge of Complex Event Processing, CQRS, Event Sourcing
Interest or Working Knowledge of NoSql Repositories
Nice to have
Java, Experience in the banking domain
Excellent oral and written communication skills
Languages
English: C1 Advanced
Seniority
Regular
Relocation package
If needed, we can help you with relocation process.
Vacancy Specialization
JavaScript
Ref Number
VR-99993"
"NodeJS Back-End Developer, AWS",https://malaysia.indeed.com/company/ISCISTECH-Business-Solution-Sdn-Bhd/jobs/Back-End-Developer-efba38f26b084e2b?fccid=11723a46b313524d&vjs=3,job_efba38f26b084e2b,ISCISTECH Business Solution Sdn Bhd,Kuala Lumpur,"Posted
Today","RM 5,000 - RM 8,000 a month","Key Responsibilities:
Lead the end-to-end development of Middleware solution, from architecture and design to implementation and deployment, utilizing the Node.js and AWS tech stack.
Design and implement scalable, secure, and highly available backend solutions using Node.js, AWS services, Git version control, and the Serverless Framework.
Collaborate closely with product managers, designers, and other engineers to define technical requirements and create effective development plans.
Provide technical leadership and mentorship to a team of software engineers, guiding them in best practices, coding standards, and architectural principles.
Participate in code reviews and ensure adherence to coding standards, design principles, and quality guidelines.
Drive continuous improvement efforts for software development processes, tools, and methodologies.
Investigate and resolve complex technical issues, implementing solutions that enhance the performance and reliability of the system.
Stay up-to-date with industry trends, emerging technologies, and best practices related to Node.js, AWS, Git, and the Serverless Framework, driving innovation within the team.
Job Types: Full-time, Contract
Contract length: 12 months
Salary: RM5,000.00 - RM8,000.00 per month
Benefits:
Opportunities for promotion
Professional development
Schedule:
Day shift
Monday to Friday
Ability to commute/relocate:
Kuala Lumpur: Reliably commute or planning to relocate before starting work (Required)"
Senior Mobile Application Developer,https://malaysia.indeed.com/company/SMM-Education-Group/jobs/Senior-Application-Developer-88d2572377e04906?fccid=d104d790ea053f7c&vjs=3,job_88d2572377e04906,SMM Education group,Kuala Lumpur,"Posted
Today","RM 4,000 - RM 6,000 a month","Key Responsibilities:
Lead the Design and Development of Mobile Applications: Spearhead the design, development, testing, and deployment of mobile applications on various platforms such as iOS and Android.
Ensure the applications are optimized for performance, scalability, and reliability.
Advanced Coding and Debugging: Write clean, maintainable, and efficient code adhering to best practices.
Debug and resolve application issues, and oversee the maintenance of existing mobile applications.
API Integration: Collaborate with backend developers to design and integrate robust APIs, ensuring seamless data synchronization and communication between mobile applications and backend services.
User Interface (UI) and User Experience (UX) Optimization: Work closely with UI/UX designers to implement intuitive and engaging user interfaces.
Continuously seek to improve user experience by analyzing user feedback and implementing modern UI/UX practices.
Performance Monitoring and Optimization: Monitor application performance in real-time, identifying issues and optimizing wherever necessary.
Ensure mobile applications run smoothly across different devices and operating systems.
Security Measures: Implement security best practices to protect mobile applications from potential threats and vulnerabilities.
Quality Assurance and Testing: Lead quality assurance processes, including the design and execution of testing strategies to ensure application functionality and reliability.
Technical Documentation: Develop and maintain comprehensive technical documentation for mobile applications, aiding in knowledge sharing and project continuity.
Mentorship and Team Collaboration: Mentor junior developers, share knowledge with team members, and contribute to collaborative problem-solving and quality code reviews.
Continuous Learning and Innovation: Stay updated with the latest mobile development trends, tools, and best practices to contribute to the innovative efforts of the team.
Qualifications:
Bachelor’s or Master’s degree in Computer Science, Information Technology, Software Engineering, or a related field.
A minimum of 5-7 years of professional experience in mobile application development.
Proficiency in mobile development frameworks and languages such as Swift, Kotlin, Flutter, or React Native.
Strong knowledge of mobile UI design principles, patterns, and best practices.
Experience with API development and integration.
Ability to analyze and optimize UI and back-end application code for efficiency and performance.
Proven experience in mentoring and leading development teams.
Excellent problem-solving skills and a passion for continuous learning and development.
Job Types: Permanent, Full-time
Salary: RM4,000.00 - RM6,000.00 per month
Benefits:
Meal allowance
Schedule:
Monday to Friday
Supplemental pay types:
Yearly bonus"
Senior IT Program Developer,https://malaysia.indeed.com/company/Brighten-Business-Consulting-Sdn-Bhd/jobs/Senior-Developer-db3381f576ae32b4?fccid=4cc61c38c8d896a5&vjs=3,job_db3381f576ae32b4,Brighten Business Consulting Sdn Bhd,Kuala Lumpur,"Posted
Today","RM 6,000 - RM 9,000 a month","Brighten Business Consulting Sdn Bhd is a digital marketing and manpower outsourcing service agency. Our head quarter from Hong Kong with branches & teammates in Malaysia, Taiwan, UK & Australia. Providing 10+ years of experience on marketing, business strategy & technology solutions, our aim is to perform high-quality professional service to support global clients develop the new markets in Malaysia & Asia Pacific.
Our client See Change Edu, world-class curricula and courses - offered in-person, online and through schools and taught by high-performing coaches- emphasizing 21st century critical thinking, communication and media skills with a special focus on empowerment and the environment. Students aged 5 - 18 can acquire: Persuasiveness through speech & debate & Creativity through reading and writing.
Job Scope:
· To maintain the existing IT application (both front end website and back end database)
· API is connected to school chat program and for class management, there is a staff portal to retrieve the database from it.
· Routine automation using excel macros (not a must)
· Responsible for UAT, website integration, to enhance and develop some new features
· To learn Node.js
· In future, new platform develop by 3rd parties vendor to replace the school chat program.
Requirements:
· Higher Diploma or Degree in Computer Science, Information Technology or related discipline
· 3 – 6 years’ prior experience in application development, ideally in e-Learning / training system development
· Proficiency in programming languages such as in .Net, PHP, JavaScript, HTML5, CSS, XML, SQL, etc.
· Working knowledge of mobile apps development.
· Must be able to read & write English and Chinese.
Benefits:
· 5 working days
· Hospital insurance
· Medical claim allowance
· Parking allowance
· Friendly and good working environment
· Free snack & beverages
· Increment depends on work performance
· Festival gifts, birthday benefits etc
· Working place nearby MRT station
Office Location: Sunway Velocity
Job Type: Full-time
Salary: RM6,000.00 - RM9,000.00 per month
Benefits:
Additional leave
Health insurance
Maternity leave
Opportunities for promotion
Professional development
Schedule:
Monday to Friday
Supplemental pay types:
Attendance bonus
Performance bonus
Yearly bonus
Application Deadline: 10/31/2023"
Back End Developer - .Net MVC,https://malaysia.indeed.com/company/Verinon-Technology-Solutions-Sdn-Bhd/jobs/Back-End-Developer-0505470006b8e63c?fccid=aaaf86f164d46c06&vjs=3,job_0505470006b8e63c,Verinon Technology Solutions Sdn Bhd,Kuala Lumpur,"Posted
Today","RM 3,500 - RM 4,500 a month","Role - Back-end developer - .Net MVC
Location – Onsite (Klang Valley)
Experienced: 2-3 years relevant experience
Develop and maintain server-side components of web applications using .Net MVC.
Collaborate with front-end developers to ensure efficient integration of user-facing elements.
Optimize application performance and scalability.
Troubleshoot and resolve technical issues.
Perform code reviews and contribute to the continuous improvement of our development processes.
Keep up-to-date with the latest industry trends and best practices.
Requirements:
3-5 years of proven experience as a Back-end Developer, with a strong focus on .Net MVC.
Proficiency in C# and ASP.NET.
Solid understanding of SQL databases and data modeling.
Experience with version control systems, such as Git.
Familiarity with front-end technologies, like HTML, CSS, and JavaScript, is a plus.
Job Type: Full-time
Salary: RM3,500.00 - RM4,500.00 per month
Benefits:
Health insurance"
Avanade Microsoft Software Engineering Academy,https://malaysia.indeed.com/rc/clk?jk=0ef06f257c59dd71&fccid=5386281035076fdf&vjs=3,job_0ef06f257c59dd71,Avanade,Kuala Lumpur,"Posted
Today",,"Avanade Microsoft Software Engineering Academy FY24

Returning to work? Ready for an exciting career change?
Do you get excited about new innovative technology solutions?
Are you naturally consultative when solving problems?
Launch your consulting career with Avanade!
About the opportunity:
Our Avanade SEA Academies accelerate our growth by ensuring we have a vehicle to continuously develop and acquire talent with skills on the Microsoft platform by bringing new candidates into the pool.

We have identified in-demand skills and bring together Academy cohorts across SEA to be trained and developed to fill essential roles within our business, working across numerous client projects.

Following your successful completion of a 6 - 8 weeks training program:

As Back-End Developer, you will develop and automate business functionality of enterprise systems using Microsoft ASP.NET framework, C#, SQL or JavaScript leveraging on cloud technologies and DevOps practices; or
As Front-End Developer, you will develop rich and interactive web UI using design, styling, and scripting to support external clients' business strategy. You will integrate UI with APIs, analytics, and management systems like CRM; or
As Full-Stack Developer, you will develop across the front and back-ends, specializing in developing and integrating services and APIs. You will be using industry-standard tools and frameworks in developing, monitoring, performing unit and integration tests on RESTFul APIs.
Who you’ll enjoy working with:
As part of the Software Engineering Team, you’ll love the supportive, forward-thinking and inclusive leadership style, and empowering culture. In terms of the big picture, Avanade proudly celebrates the leadership of Global CEO, [1] Pamela Maynard who has brought our purpose of making a genuine human impact to the forefront of the work we do for our clients, their employees and their customers.

About you:
You have 0.5 - 2 years of software engineering/ application development experience. Preferably with a Bachelor’s degree in Computer Science, Engineering, MIS or related field. You are experienced in Software Development, with good understanding of the below and are willing to learn and work alongside with some of the best-experienced consultants:

Web development with Microsoft ASP.NET Framework, C#, and SQL.
Integration of .NET Core applications with mobile and web front ends with RDBMS databases through Restful APIs.
Understanding of RDBMS databases specially Microsoft SQL for operations through triggers and stored procedures.
Knowledge of HTML, CSS, and JavaScript.
SQL Server Profiler (MSSQL) or equivalent tool for monitoring, analyzing, and optimizing database performance and activity.
SQL Reporting Services (SSRS) and SQL Server Integration Services (SSIS) integration and file transfer protocols.
Stages in Software Development Life Cycle (completed at least 1 end-to-end SDLC).
We don’t expect you tick every box. What’s important is that you help us to understand what your core strengths are and, that you’ll be excited to learn and develop in areas if you need to.

Please note: Upon successful completion of the Academy, the first onsite project will be at Kelana Jaya, Petaling Jaya City.

What you can expect from us:
Where you start, isn’t where you end up - there’s plenty of opportunities to develop, progress and as part of a global consultancy you can even take your career to over 26 countries.
Take full advantage of additional 3 days of flexi-leave on top of your usual annual leave to relax, rebalance and focus on your health and wellbeing or honour your personal cultural beliefs.
Your wellbeing matters to us. That’s why you’ll enjoy RM4,000 p.a. of flexi-dollars to help you, take care of you.
What we offer you:
Come for the distinctive experiences you have helping forward-thinking corporations, non-profits, and governments push the boundaries of digital innovation. Stay for the limitless learning opportunities that encourage you to master Microsoft and pursue big ideas. Enjoy ambitious growth for yourself as part of Avanade’s people-first culture with benefits like employee share purchasing, flexible work arrangements, a commitment to diversity and inclusion, and competitive pay.

References

Visible links
1. https://www.avanade.com/zh-sg/about-avanade/leadership"
NodeJS Back-End Developer,https://malaysia.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B32quDr5OdJJ9JthlCsHy5zjIUn4kVkLmV40XIiLuqfboflXCuQwTLrUAwexb7VujYP20nNQAbhT54SamVIDMFVcNujY5HLE3kwNOLb51zf80HoPxgapHpWXx2UF7s7R2I0uy49xpqrh4hdrdTti-N6TDd3ulS3-HPGGdacmUP_O00OmLT2oHECbo6gEdyeKN3kxHRfcQ4UcziTrs9dRilyDmlwEtfR18RVuqFq7ZtsrrHaRjHY1IjuhBRj7BbBn6FHc12QkvwDDo7sD1oag5S5YgLytuSFQCGJP5HFZgzvW6Duz9JjP14KUAd74UPi94O9y3FoAK12sVEmIhkHkBVk6NP5l06PkPGUOmXwHEzQi9b_zm_UnUzKms3btA-erlWP41YZtU_LC1XdymTTgrDFTKnRVzCb7dsiZJW5gA_zubHfJJbTzjDZBY8fS9HVwUuBPZjYXmsQIpbpNWvxR8PLRjaVI05hBMdHkyrZyQ4JUwOOQUj6b2611W4w6O2QwGRM_bsu-ign03VtNHkcctiM2A_vIt3ZCrI_GRroqVFZoSXELZdGiyVg0rJjMkgrUcL4Z58EAtAkGp1_mw7lnYFldYWFAUnnb0kAYgZK8PMGYLh6Hpl2B2O2dt8S_8U2hEDSNgmZvclnwZBuKRX1RbP98HrY9CGDDyfNbODhsNnFCTOYIENoVdxw6ZvNhR99eZh5rCZuYkGY55SjFgRkthpxpgqRNe07JqMkWwayPd0JyxH55vuITaDd4CXNnqsV7Mnu9m974UsXzRXX6mEKzPeYLgAk9lTKdLb-kJSRfjUBTQptcmz3QZP9tem7ZeO6UU6x33aavFm1vc_OE_IERJmTPxFTvROE1ynXpeaX7fVyk6Ath9NiffSt8zkumZTq-ZqAPhqcz4a6phtzVTW4Z6uTGUfIWNIUhS1E_8FN0pY82cBWgV_iiLQKDqy-Vak2IKcW5Bu_9m_lD5Cm6jOnruEMxAmWNUiUxq9s8BucRk9W6fS019TRQjCyAzWIS-aA9adht80Y1gPCwg6Ym-9MA0vGSUXcoOb385e5GzS3Z0zPg==&xkcb=SoCS-_M3JlGhesTkxZ0NbzkdCdPP&p=6&fvj=0&vjs=3,sj_9bff79b114d4a0c9,AMK TECHNOLOGY SDN BHD,Kuala Lumpur,"Posted
Posted 1 day ago",,"Job profile - nodeJS Back-End Developer, AWS,

Our Software Engineering Team is growing fast, and we've optimizing web pages for maximum efficiency and maintaining brand consistency across all products. The role will be required to lead the Back-End Development team alongside Front-End Development, Design and Product Development team to ensure all components and elements displayed on screens are consistent and delivered in most consistent and efficient way."
Front End Developer (AEM),https://malaysia.indeed.com/rc/clk?jk=ce543c01ffdb6310&fccid=db7f53db949dad57&vjs=3,job_ce543c01ffdb6310,Publicis Groupe,Kuala Lumpur,"Posted
Posted 1 day ago",,"Company Description

About Publicis Groupe
Publicis Groupe, known for its world-renowned creativity, best in class technology, digital and consulting expertise, is the world’s third largest communications group in the world. With more than 80,000 people in over 100 countries, the Groupe has four Solution hubs: Creative with Publicis Communications, Media with Publicis Media, Digital business transformation with Publicis Sapient, and Health & Wellbeing with Publicis Health.
Since 2014 and the acquisition of Sapient, Publicis Groupe has undergone a profound transformation by scaling a new model connecting data, creativity and technology. We have continued on that journey with the 2019 acquisition of Epsilon to further scale our data led offering and provide true momentum to our clients own transformation.
This model, with a country led approach, is called the “Power of One” and gathers all the capabilities of the Groupe under one roof, putting clients at the core of the organisation.
It breaks down the silos between Publicis Communications, Publicis Media, Publicis Sapient, and Publicis Health making them work seamlessly and efficiently to help clients transform marketing and business at scale.
Never has our vision and drive for Power of One been as demonstrable as in the role of the Global and Regional Client lead. The Publicis Groupe is a brand led organisation powered by data driven global Practices and has our clients at the absolute core of our business. The role of a RCL is essential for driving growth, for understanding and leading our clients own transformation through delivering the true scale our agencies capabilities. A RCL sets the vision, builds a culture of collaboration and curates a team of experts from our whole Groupe to deliver on that promise. They are true leaders with responsibility for revenue, profitability and leading the relationship with our clients. We could not be more committed to delivering excellence and we articulate our approach to that as the following;

Clients Come First; The entire Publicis Groupe transformation was designed to put clients at the center of all we do. Their needs and objectives drive the solutions we provide in order to help them win and grow.
We are Seamless; We have created the powerful role of the Regional Client Leader. One person who acts as one point of access and one point of accountability to tap an 80,000-deep pool of talent - free from silos, legacy, and convention.
We are Frictionless; We have unified P&Ls and removed all operational barriers that enable true collaboration.
We are Modular; The core benefit of our new organization is not only in the depth and range of capability but, more importantly, in our ability to configure situationally; the ability to configure around individual client needs and an open architecture to plug & play world class partners when needed. Modularity is critical as it enables a future proof way for this organization support innovation now and keep pace the changes that show no sign of stopping.
We are United; By fusing together our creative, intelligence, and technology expertise, we are able to provide clients with transformative ideas and consumer experiences, unlike any other agency or holding company in the marketplace.

Job Description

o Use markup languages like HTML to create user-friendly web pages
o Maintain and improve the website
o Optimize applications for maximum speed
o Design mobile-based features
o Collaborate with back-end developers and web designers to improve usability
o Get feedback from, and build solutions for users and customers
o Write functional requirement documents and guides
o Create quality mockups and prototypes
o Help back-end developers with coding and troubleshooting
o Ensure high-quality graphic standards and brand consistency
o Stay up-to-date on emerging technologies

Qualifications

o Proven work experience as a Front-end developer
o Hands on experience with markup languages
o Experience with JavaScript, CSS3 and jQuery.
o Familiar with Foundation/Bootstrap CSS Framework.
o Familiarity with browser testing and debugging o In-depth understanding of the entire web development process (design, development and deployment)
o Understanding of layout aesthetics o Knowledge of SEO principles
o Familiarity with software like Adobe Suite, Photoshop
o Familiarity with Content Management System (Adobe Experience Manager)
o Experience in developing AEM components that works with AEM
o An ability to perform well in a fast-paced environment o Excellent analytical and multitasking skills

 Additional beneficial (though not required) skills will include
o Angular JS / React JS / Vue JS
o Knowledge of version control (Git)
o Able to code in ES6
o Experience working with package managers (npm/yarn), task runners (Gulp/Grunt), Babel and etc
o Website Performance Optimization (Speed/Security/SEO)

Additional Information

Our employee benefits package comprises the following:
Generous leave entitlements, including birthday leave, rest day and family care leave.
Office closure for World Mental Health Day 10th October.
Additional Company closure for all 4 major festive Celebrations
Cashless comprehensive medical coverage, including access to a panel clinic, dental and optical care.
Life and personal accident insurance and group hospitalization and surgery.
A hybrid working schedule and with Friday disconnects.
Rest Relax & Recharge - office closure last week of December every year.
Phone Allowance"
Back-end Developer,https://malaysia.indeed.com/rc/clk?jk=08f585c13bdd7252&fccid=bf12df10ea57c3a3&vjs=3,job_08f585c13bdd7252,Cargobase,Kuala Lumpur,"Posted
Posted 1 day ago",,"Job description

Clean code and modern architecture are fundamental in building a great agile product. As part of a dedicated back-end team, you'll be instrumental in creating an API that powers the front end that is used by some of the largest companies in the world.

At Cargobase, we’re building a collaborative tool to connect shippers (logistic departments) and freight forwarders to work together on different kinds of freight. From urgent ad-hoc shipment to tenders with a 1-year validity, from invoicing and compliance to reporting & analytics. We offer the full suite and our partners rely on us in their day-to-day operations.

Our dedicated team of back-end developers provides the internal front-end team & third parties with well-documented APIs written in Django (DRF). You will work in a team of highly skilled engineers and will conceive, prototype, and bring to life new APIs. You are expected to challenge existing designs and constructs and be driving new initiatives.

If you are an experienced Django back-end developer? Do you know what it takes to write clean and scalable code? We are looking for people with a strong computer science or software engineering background. And regardless of whether you're just out of school or have been doing this work for 30 years, you are excited about creating great products.

Responsibilities

Design, develop and test features from inception to rollout.
Write high-quality code to enhance our company’s APIs
Define API requirements and align your vision with the product team and other developers.
Actively participate in design decisions to keep our platform future proof
Peer review, refactor and optimize the existing client-side codebase

Job Requirements

You have at least three years of working experience developing websites or APIs.
Advanced knowledge of Django
Experience in using Django Rest Framework or another framework for building APIs
Experience with client-side frameworks, like React, preferred (for better collaboration with the front-end team)
A Bachelor’s Degree in Computer Science, Computer Engineering or a related field preferred
Experience in working in co-located Agile teams is a plus

What we offer

Competitive compensation
A positive no-nonsense / output-driven work environment
Preserve your autonomy. We’re independent by nature. Each team member is basically a manager of one
Passionate colleagues in different countries between Singapore and the United Status
Hardware of your choice

About Cargobase

Incorporated in 2013, Cargobase was founded with the vision to improve the collaboration between shippers and logistics service providers through a user-friendly transportation management software solution. Our initial solution changed the way spot-freight procurement was done and quickly grew to become the leading enterprise software provider in this segment.

Cargobase’s team is a unique blend of logistics and tech professionals. With our deep roots in the logistics industry, we understand the challenges shippers and LSPs face. Interwoven with a tech team devoted to building user-friendly products, we are proud to be transforming the TMS and logistics software space. Our team hails from over 10 nationalities and is spread out across USA, Europe, Asia and Africa.

Simplified and automated freight for all, is our vision. To realize that vision, our team at Cargobase dedicates our time, knowledge, skills, and efforts to develop the best transportation management software that will suit the needs of every company that offers transportation and freight services around the world. Our modular transportation management software now serves as a platform that covers all modes of freight services. We provide customization options for all major languages, and our product is being utilized by leading shippers and logistics service providers across the world."
Full Stack Developer (Several Positions),https://malaysia.indeed.com/rc/clk?jk=373b5cef2272ed25&fccid=b25343f021fb51d7&vjs=3,job_373b5cef2272ed25,Mercedes-Benz Malaysia Sdn. Bhd.,Kuala Lumpur,"Posted
Posted 1 day ago",,"Job category:
IT / Telekommunikation
Department:
HR BP TSS Malaysia
Organization:
Mercedes-Benz Malaysia Sdn. Bhd.
Location:
Mercedes-Benz Malaysia Sdn. Bhd., Kuala Lumpur
Start date:
immediately
Publication date:
17.06.2023
Job number:
MER0002J3I
Tasks
ABOUT US At Mercedes-Benz, we don’t just build cars, we create great software. We develop tomorrow’s mobility together in our product lines, pushing the digitization of the Mercedes-Benz Group AG forward. As a tech company, we are agile, innovative and always keep our finger on the pulse of change. This is why inner source, FOSS, secure code, DevOps, infrastructure as code (IaC), data analytics, artificial intelligence and many more are core components of our daily work. IT is our passion, and we move towards a bright future, sometimes quickly, sometimes creatively – but always together. We believe in integrity, trust and transparency as part of our flexible work culture and a strong emphasis on team work and the learning process, making mistakes and achieving continuous progress together in all products we create and develop within the Mercedes-Benz Group. Our workplace is anywhere* with a fast connection either remotely at home, at your favorite café or at our integrated office at Wisma Mercedes-Benz that comes with an LRT station at its doorstep, our al fresco cafeteria, ample greenspaces and free parking. JOB DESCRIPTION As a full stack developer you will have a broad skillset both in front-end or back-end development, including any related areas such as database design/management and DevOps. You would have a thorough understanding of user experience, and in turn, user interface implementation, requires a comprehensive understanding of various front-end technologies, the core being HTML, CSS, and JavaScript. You are familiar with various frameworks and libraries, and an understanding of product strategy and an extensive knowledge of backend API principles that includes REST. You must excel in at least one back-end technology as well as database design and implementation and have an understanding of managing relevant infrastructures. JOB RESPONSIBILITIES • Develop Enterprise applications conforming to organization standards and processes that enable reusability, efficiency, manageability, reliability, scalability & fault tolerance • Understand project objectives and business requirements to design software based on the customers’ needs • Consult and support customers within organization during product/application life cycle • Provide solutions and proof of concepts to customers’ problems • Recommend industry best practices for applying engineering processes into problem domain • Knowledge sharing within development teams • Expeditious travel overseas to meet client needs and on-site support (no more than 2-week per travel)
Qualifications
Experience (type of) • Experience with Agile methodologies • Experience with enterprise technologies • IT and Programming related certification Specific knowledge/ Skill • Excellent communication skills • Good customer service orientation • Analytical, passionate and drives technology and product quality • Result-oriented thinking and action Knowledge and Skills: • Develops highly complex components and systems visionary and is responsible for them. • Masters and implements solution and implementation alternatives (technologies and programming languages). • Is responsible for overarching software architecture and design. • Abstracts technical relationships. • Creates complex, technical documentation. • Designs and develops reliable and scalable enterprise architectures. • Advises customers and acquires projects. • Manages medium and large development teams. • Presents the designed and developed software solutions at customer and expert level. Responsibility and Scope for decision-making: • Designs the environment for the implementation of highly complex topics/projects/products. • Applies alternative solutions and courses of action. • Builds new teams and proactively organizes a harmonious and high-performance team. • Integrates the relevant experts independently and proactively across BU. • Acts with strategic and entrepreneurial vision. Technical: • Front End: Angular, React, VueJS • Back End: Node.js, Python, Java, .Net or Golang • Web services: REST API • Cloud: Microsoft Azure, AWS • Database: PostgreSQL, MongoDB • Container and microservices: Kubernetes and Docker
Benefits
Mitarbeiter Events
Mitarbeiterrabatte möglich
Gesundheitsmaßnahmen
Mitarbeiterhandy möglich
Gute Anbindung
Mitarbeiterbeteiligung möglich
Betriebsarzt
Betriebliche Altersversorgung
Firmenwagen möglich
Kantine
Flexible Arbeitszeit möglich
Contact
Mercedes-Benz Malaysia Sdn. Bhd.
16A Jalan BK 1/13
47180 Puchong
Details to location
Nor Ayu Ahmad
E-Mail: nor_ayu.ahmad@mercedes-benz.com"
