Job Title,Job Link,Job ID,Company Name,Location,Job Posting,Salary,Job Description
Front-End UI/Mobile Developer,https://malaysia.indeed.com/rc/clk?jk=db81ca226965e91f&fccid=4b841d912d46e4fd&vjs=3,job_db81ca226965e91f,Luxoft,Kuala Lumpur,"Posted
Today",,"Project Description
One of the leading Malaysian banks needs to continue software development work for web, mobile, APIs, database, integration, etc. The deliverables would include a web/mobile app with micro-services (Spring boot+Docker+Kubernetes) back end and MySQL database. There will be various integrations to the current sub-systems of the bank.
Responsibilities
You will be required to work closely with the Development Manager, Project Manager, and a team of developers.

Technical Roles and Responsibilities
Demonstrate a systematic and disciplined architecture, system design, and programming approach following a standard software development lifecycle
Meticulous attention to detail and a strong focus on clear and practical documentation
Work closely with senior management, the Development Manager, the Project Manager, and a team of developers.
Design, Code, Unit Test, and support Software components
Deliver quality software in time following standard software development processes
Analyze problems raised in software development or production environments and provide timely solutions
Develop, prepare, and maintain system documentation, including program descriptions, operational procedures, etc.
Act as the second line of support during production problems.
Skills
Must have
Overall 4+ years of experience as a Front-End Developer

Technical Knowledge
You must have a demonstrable ability to produce high-quality UI and UX
Sound understanding of JavaScript (ES6), Angular7+, HTML5, CSS3, SASS
Experience with Bootstrap and knowledge of Node JS, and Backbone.
Experience of Apache Cordova
Experience with Xcode/Android Studio for mobile development and deployment
Knowledge of open-source solutions and trending technologies
Exposure to broader web technologies such as REStful APIs
Knowledge of Java, Scala, and the JVM.
Strong understanding of web standards, security, accessibility, browser compatibility,
Development Tools
Demonstrable Experience with TDD and BDD Knowledge with tools such as JavaScript, Mocha, Karma, JUnit, ScalaTest, AssertJ, and Cucumber
Exposure to Continuous Build and Deployment Solutions such as Jenkins / Bamboo
Exposure to GIT, Jira, and Stash

Development Methodologies and Practices
Worked within an Agile environment using methodologies such as Scrum / KanBan / XP and Lean
Sounds and Demonstrable knowledge of Design Patterns, OO Programming, and when to use patterns including Knowledge of Complex Event Processing, CQRS, Event Sourcing
Interest or Working Knowledge of NoSql Repositories
Nice to have
Java, Experience in the banking domain
Excellent oral and written communication skills
Languages
English: C1 Advanced
Seniority
Regular
Relocation package
If needed, we can help you with relocation process.
Vacancy Specialization
JavaScript
Ref Number
VR-99993"
UIUX Designer,https://malaysia.indeed.com/company/Powtech/jobs/Designer-68978cffb4467ec0?fccid=b8b74742a57ad0f3&vjs=3,job_68978cffb4467ec0,Powtech,Kuala Lumpur,"Posted
Today","RM 4,000 - RM 7,000 a month","Job Description
We are seeking a talented and passionate UI/UX Designer to join our dynamic team. In this role, you will be responsible for creating intuitive, visually appealing, and user-friendly interfaces for a variety of software projects. You will collaborate with cross-functional teams and play a pivotal role in crafting designs that provide exceptional user experiences.
Responsibilities:
1. User Research: Conduct user research to understand user needs, behaviors, and pain points. Translate research insights into design strategies.
2. Wireframing and Prototyping: Create wireframes, prototypes, and user flows to visualize design concepts and iterate on them based on feedback.
3. User Interface Design: Design user interfaces that align with the latest design trends and best practices, ensuring a seamless and attractive user experience.
4. Usability Testing: Organize and conduct usability tests to gather user feedback and make data-driven design improvements.
5. Collaboration: Work closely with developers, product managers, and other stakeholders to ensure design consistency and effective implementation.
6. Responsive Design: Create designs that are responsive, adapting to various screen sizes and devices.
7. Maintain Design Systems: Contribute to and maintain design systems, style guides, and design documentation.
8. Stay Updated: Stay updated with the latest UI/UX trends, tools, and technologies to bring innovation to the team.
Qualifications:
1. A bachelor's degree in Design, Human-Computer Interaction, or a related field.
2. Proven experience as a UI/UX Designer with a strong portfolio showcasing your design work and thought process.
3. Proficiency in design tools such as Adobe XD, Sketch, Figma, or similar.
4. Knowledge of user-centered design principles and best practices.
5. Understanding of front-end development technologies (HTML, CSS) is a plus.
6. Strong communication and collaboration skills to work effectively with cross-functional teams.
7. Detail-oriented with a focus on delivering high-quality designs.
8. Ability to work in a fast-paced, deadline-driven environment.
9. Experience with animation and motion design is a bonus
Job Type: Full-time
Salary: RM4,000.00 - RM7,000.00 per month
Benefits:
Work from home
Ability to commute/relocate:
Kuala Lumpur: Reliably commute or planning to relocate before starting work (Required)"
User Interface/User Experience Designer (UI/UX Designer),https://malaysia.indeed.com/company/GTrade-Technology-Sdn-Bhd/jobs/User-Interface-Designer-deefe939230f2ffb?fccid=befd75cacd9a47c6&vjs=3,job_deefe939230f2ffb,GTrade Technology Sdn Bhd,Kuala Lumpur,"Posted
Today","RM 2,500 - RM 4,000 a month","Responsibilities:
Collaborate with cross-functional teams to understand project requirements and user needs.
Create wireframes, mockups, and prototypes to illustrate design concepts and user flows.
Design visually stunning user interfaces that align with our brand and design guidelines.
Conduct user research and usability testing to gather valuable insights and make data-driven design decisions.
Optimize designs for a seamless and intuitive user experience across different devices and platforms.
Work closely with developers to ensure the successful implementation of design elements.
Stay updated on the latest UI/UX trends, best practices, and technologies to continuously improve our designs.
Provide constructive feedback and contribute to design critiques within the team.
Any other ad-hoc tasks or duties as assigned by the superior/ management to you from time to time.
Requirements:
Bachelor’s degree in Design, Multimedia or equivalent related fields.
Preferably with relevant experience as a UI/UX Designer or similar role.
A strong portfolio showcasing your design work and problem-solving skills.
Proficiency in design and prototyping tools such as Adobe XD, Sketch, Figma, or similar software.
Solid understanding of user-centered design principles and best practices.
Knowledge of HTML, CSS, and front-end development is a plus.
Excellent communication and collaboration skills.
Detail-oriented and able to work independently as well as part of a team.
Job Type: Full-time
Salary: RM2,500.00 - RM4,000.00 per month
Benefits:
Opportunities for promotion
Professional development
Schedule:
Monday to Friday
Supplemental pay types:
Performance bonus
Experience:
UI/UX Designer or similar role: 1 year (Preferred)"
UI UX Designer(Remotely),https://malaysia.indeed.com/company/Agensi-Pekerjaan-Elitez-Malaysia-Sdn-Bhd/jobs/User-Interface-Designer-089c76e49dcba7d6?fccid=0c99cb274f5231a0&vjs=3,job_089c76e49dcba7d6,Agensi Pekerjaan Elitez Malaysia Sdn Bhd,Remote in Kuala Lumpur,"Posted
Today","RM 3,000 - RM 5,000 a month","Company Information
A reputable Singapore company with multiple businesses such as jewelry, pawnbroking, insurance, and more. Currently, they are expanding and looking for UI UX Designer to be part of their pioneer team in Kuala Lumpur. In this role, you will be reporting to MIS Manager and working together with IT team members.
Location: Remote mode but based in Malaysia
Working hours: 9 AM - 6 PM (MON - FRI)
Job Scope
As UI UX Designer, you will be responsible for creating design concepts, personas, sitemaps, and other materials to effectively communicate ideas and solutions. Besides, you will also work closely with cross-functional team and the program manager to deliver user-centric designs that meet the needs of the business and target audience. You should have a user-centric design approach, excellent communication skills, and the ability to take and incorporate feedback during meetings.
Responsibilities
Creating design concepts, personas, sitemaps, and other materials that effectively communicate ideas and solutions
Collaborate with cross-functional teams and the program manager to deliver designs that meet the needs of the business and its intended audience, while also considering inherent technical and business constraints
Conduct evaluative research to validate and improve design
Execute and present design and creative thinking to the program manager
Proactively sharing project progress for review
Possess a user-centric design approach
Requirements
Diploma / Degree holders
At least 1 - 2 years of experience in UI UX role
Extensive experience in creating information design, information architecture, and interaction design solutions for high-profile digital products or services
Expert-level skills in industry-standard design visualization and prototyping software (mainly Figma)
Proficient in rapid prototyping and creating proof-of-concept demos
Strong understanding of usability best practices and front-end development principles
Strong graphic design skills and proficiency in creating visually appealing graphics, logo, layouts, typography, and colour theory
Video editing skills, add visual effects, motion graphics, and other elements skills to enhance the visual appeal of the video
Strong organizational and time management skills and, ability to work on multiple projects simultaneously
Excellent interpersonal and communication skills to collaborate with program manager, scrum masters, solutionists, and developers
Proactive mindset, passion for design, and motivation to achieve results
Job Type: Full-time
Salary: RM3,000.00 - RM5,000.00 per month
Benefits:
Professional development
Schedule:
Monday to Friday
Education:
Diploma/Advanced Diploma (Preferred)
Experience:
UI UX: 2 years (Preferred)
Layout design: 2 years (Preferred)
Figma: 2 years (Preferred)
Video Editing: 1 year (Preferred)
Language:
English (Preferred)
Chinese (Preferred)
Application Deadline: 11/20/2023"
Back End Developer - .Net MVC,https://malaysia.indeed.com/company/Verinon-Technology-Solutions-Sdn-Bhd/jobs/Back-End-Developer-0505470006b8e63c?fccid=aaaf86f164d46c06&vjs=3,job_0505470006b8e63c,Verinon Technology Solutions Sdn Bhd,Kuala Lumpur,"Posted
Today","RM 3,500 - RM 4,500 a month","Role - Back-end developer - .Net MVC
Location – Onsite (Klang Valley)
Experienced: 2-3 years relevant experience
Develop and maintain server-side components of web applications using .Net MVC.
Collaborate with front-end developers to ensure efficient integration of user-facing elements.
Optimize application performance and scalability.
Troubleshoot and resolve technical issues.
Perform code reviews and contribute to the continuous improvement of our development processes.
Keep up-to-date with the latest industry trends and best practices.
Requirements:
3-5 years of proven experience as a Back-end Developer, with a strong focus on .Net MVC.
Proficiency in C# and ASP.NET.
Solid understanding of SQL databases and data modeling.
Experience with version control systems, such as Git.
Familiarity with front-end technologies, like HTML, CSS, and JavaScript, is a plus.
Job Type: Full-time
Salary: RM3,500.00 - RM4,500.00 per month
Benefits:
Health insurance"
Senior IT Program Developer,https://malaysia.indeed.com/company/Brighten-Business-Consulting-Sdn-Bhd/jobs/Senior-Developer-db3381f576ae32b4?fccid=4cc61c38c8d896a5&vjs=3,job_db3381f576ae32b4,Brighten Business Consulting Sdn Bhd,Kuala Lumpur,"Posted
Today","RM 6,000 - RM 9,000 a month","Brighten Business Consulting Sdn Bhd is a digital marketing and manpower outsourcing service agency. Our head quarter from Hong Kong with branches & teammates in Malaysia, Taiwan, UK & Australia. Providing 10+ years of experience on marketing, business strategy & technology solutions, our aim is to perform high-quality professional service to support global clients develop the new markets in Malaysia & Asia Pacific.
Our client See Change Edu, world-class curricula and courses - offered in-person, online and through schools and taught by high-performing coaches- emphasizing 21st century critical thinking, communication and media skills with a special focus on empowerment and the environment. Students aged 5 - 18 can acquire: Persuasiveness through speech & debate & Creativity through reading and writing.
Job Scope:
· To maintain the existing IT application (both front end website and back end database)
· API is connected to school chat program and for class management, there is a staff portal to retrieve the database from it.
· Routine automation using excel macros (not a must)
· Responsible for UAT, website integration, to enhance and develop some new features
· To learn Node.js
· In future, new platform develop by 3rd parties vendor to replace the school chat program.
Requirements:
· Higher Diploma or Degree in Computer Science, Information Technology or related discipline
· 3 – 6 years’ prior experience in application development, ideally in e-Learning / training system development
· Proficiency in programming languages such as in .Net, PHP, JavaScript, HTML5, CSS, XML, SQL, etc.
· Working knowledge of mobile apps development.
· Must be able to read & write English and Chinese.
Benefits:
· 5 working days
· Hospital insurance
· Medical claim allowance
· Parking allowance
· Friendly and good working environment
· Free snack & beverages
· Increment depends on work performance
· Festival gifts, birthday benefits etc
· Working place nearby MRT station
Office Location: Sunway Velocity
Job Type: Full-time
Salary: RM6,000.00 - RM9,000.00 per month
Benefits:
Additional leave
Health insurance
Maternity leave
Opportunities for promotion
Professional development
Schedule:
Monday to Friday
Supplemental pay types:
Attendance bonus
Performance bonus
Yearly bonus
Application Deadline: 10/31/2023"
Junior Java Developer (Malaysian),https://malaysia.indeed.com/company/Merchant-Acquisition-Company/jobs/Junior-Java-Developer-e77013eb8b082e19?fccid=dabde96a7987435b&vjs=3,job_e77013eb8b082e19,Merchant Acquisition Company,Kuala Lumpur,"Posted
Today","RM 3,500 - RM 5,000 a month","Job Description
Provide input and produce proof-of-concept during requirement analysis and design
Perform system development according to specification
Test software to conform to specification and quality
Maintain and monitor the performance of existing software
Work closely with different teams on system integration
Handle other ad-hoc tasks as assigned
Qualifications/Requirements
Bachelor’s Degree in Computer Science, Software Engineering or other relevant disciplines.
Java : Good in Core Java
Scripting Language & Front End : Java script, Node JS, Angular JS
Frameworks : Knowledge on J2EE – Spring Boot, Hibernate Restful or Any Web framework, .NET 4.0 or greater
Database : MS SQL Server, MYSQL, Oracle
Job Types: Permanent, Contract
Contract length: 12 months
Salary: RM3,500.00 - RM5,000.00 per month
Schedule:
Monday to Friday
Application Question(s):
Notice Period
Experience:
Java: 2 years (Preferred)
Spring Boot: 1 year (Preferred)"
Avanade Microsoft Software Engineering Academy,https://malaysia.indeed.com/rc/clk?jk=0ef06f257c59dd71&fccid=5386281035076fdf&vjs=3,job_0ef06f257c59dd71,Avanade,Kuala Lumpur,"Posted
Today",,"Avanade Microsoft Software Engineering Academy FY24

Returning to work? Ready for an exciting career change?
Do you get excited about new innovative technology solutions?
Are you naturally consultative when solving problems?
Launch your consulting career with Avanade!
About the opportunity:
Our Avanade SEA Academies accelerate our growth by ensuring we have a vehicle to continuously develop and acquire talent with skills on the Microsoft platform by bringing new candidates into the pool.

We have identified in-demand skills and bring together Academy cohorts across SEA to be trained and developed to fill essential roles within our business, working across numerous client projects.

Following your successful completion of a 6 - 8 weeks training program:

As Back-End Developer, you will develop and automate business functionality of enterprise systems using Microsoft ASP.NET framework, C#, SQL or JavaScript leveraging on cloud technologies and DevOps practices; or
As Front-End Developer, you will develop rich and interactive web UI using design, styling, and scripting to support external clients' business strategy. You will integrate UI with APIs, analytics, and management systems like CRM; or
As Full-Stack Developer, you will develop across the front and back-ends, specializing in developing and integrating services and APIs. You will be using industry-standard tools and frameworks in developing, monitoring, performing unit and integration tests on RESTFul APIs.
Who you’ll enjoy working with:
As part of the Software Engineering Team, you’ll love the supportive, forward-thinking and inclusive leadership style, and empowering culture. In terms of the big picture, Avanade proudly celebrates the leadership of Global CEO, [1] Pamela Maynard who has brought our purpose of making a genuine human impact to the forefront of the work we do for our clients, their employees and their customers.

About you:
You have 0.5 - 2 years of software engineering/ application development experience. Preferably with a Bachelor’s degree in Computer Science, Engineering, MIS or related field. You are experienced in Software Development, with good understanding of the below and are willing to learn and work alongside with some of the best-experienced consultants:

Web development with Microsoft ASP.NET Framework, C#, and SQL.
Integration of .NET Core applications with mobile and web front ends with RDBMS databases through Restful APIs.
Understanding of RDBMS databases specially Microsoft SQL for operations through triggers and stored procedures.
Knowledge of HTML, CSS, and JavaScript.
SQL Server Profiler (MSSQL) or equivalent tool for monitoring, analyzing, and optimizing database performance and activity.
SQL Reporting Services (SSRS) and SQL Server Integration Services (SSIS) integration and file transfer protocols.
Stages in Software Development Life Cycle (completed at least 1 end-to-end SDLC).
We don’t expect you tick every box. What’s important is that you help us to understand what your core strengths are and, that you’ll be excited to learn and develop in areas if you need to.

Please note: Upon successful completion of the Academy, the first onsite project will be at Kelana Jaya, Petaling Jaya City.

What you can expect from us:
Where you start, isn’t where you end up - there’s plenty of opportunities to develop, progress and as part of a global consultancy you can even take your career to over 26 countries.
Take full advantage of additional 3 days of flexi-leave on top of your usual annual leave to relax, rebalance and focus on your health and wellbeing or honour your personal cultural beliefs.
Your wellbeing matters to us. That’s why you’ll enjoy RM4,000 p.a. of flexi-dollars to help you, take care of you.
What we offer you:
Come for the distinctive experiences you have helping forward-thinking corporations, non-profits, and governments push the boundaries of digital innovation. Stay for the limitless learning opportunities that encourage you to master Microsoft and pursue big ideas. Enjoy ambitious growth for yourself as part of Avanade’s people-first culture with benefits like employee share purchasing, flexible work arrangements, a commitment to diversity and inclusion, and competitive pay.

References

Visible links
1. https://www.avanade.com/zh-sg/about-avanade/leadership"
.NET Full-Stack Developer,https://malaysia.indeed.com/company/I--XEON-TECHNOLOGIES-SDN.-BHD./jobs/Full-Stack-Developer-97ca14e916b589a5?fccid=3242b34546c7c0c9&vjs=3,job_97ca14e916b589a5,I-XEON TECHNOLOGIES SDN BHD,Kuala Lumpur,"Posted
Today",,"Job Description:
Design architecture for new .NET Projects and to improve architecture of existing projects
Develop and maintain .NET applications with .NET Core, Web MVC (front-end), APIs and Console Application (backend) development with C# programming language
Experienced database design in Relational Database Management Systems (RDBMS) such as Oracle, Microsoft SQL Server, and MySQL
Experienced in integrating reporting tools such as SQL Server Reporting Service (SSRS), Crystal Reports, or Stimulsoft
Ability to handle challenging projects involving heavy computation and high volume data processing with performance challenges
Experience in UX design using Figma or similar would be advantage
Experience in Product Development would be an advantage
Possess Functional knowledge in Business Process Automation would be an advantage
Requirements:
Minimum Diploma/Advanced Diploma/Bachelor’s Degree in Computer Science / Software Engineering / Information Technology or related field
More than 3 years of development experience using C# .NET
Familiarity with these technologies: .NET/ .NET Core, ASP.NET, SQL Server, MySQL, CSS, HTML5, Angular JS, React JS, CSS, JQuery
Familiar with frameworks, design and architectural patterns e.g. .NET Core, Model-View-Controller (MVC), Entity Framework, Service-based Architecture, RESTful API etc
Understanding of Agile/SCRUM methodologies
Job Type: Full-time
Schedule:
Monday to Friday
Education:
Diploma/Advanced Diploma (Preferred)
Experience:
C#: 3 years (Preferred)
Entity Framework: 3 years (Preferred)
Expected Start Date: 11/01/2023"
Front End Developer (ReactJS),https://malaysia.indeed.com/company/Times-Consult/jobs/Front-End-Developer-d8249eef69ca15dc?fccid=eddcbcfa814fe343&vjs=3,job_d8249eef69ca15dc,Times Consult,Kuala Lumpur,"Posted
Posted 1 day ago","RM 5,500 - RM 8,000 a month","Responsibilities:
Develop new user-facing features using React.JS.
Build reusable components and front-end libraries for future use.
Create quality mock-ups and prototypes.
Translate designs and wireframes into high-quality code.
Optimize components for maximum performance across a vast array of web-capable devices and browsers.
Collaborate with backend developers to integrate with in-house and 3rd party API.
Write clean, optimized and documented code per standards.
Continuously improve features based on needs.
Ensure high-quality graphic standards and brand consistency.
Requirements:
Tertiary education in Computer Science or any other relevant field.
Minimum 2-years’ experience working on ReactJS.
In-depth knowledge of JavaScript, HTML, CSS.
Experience with user interface design.
Self-motivated to learn continuously and detail-oriented with ability to complete tasks independently.
Able to work fully onsite in the office
Job Type: Permanent
Salary: RM5,500.00 - RM8,000.00 per month
Benefits:
Dental insurance
Health insurance
Professional development
Supplemental pay types:
13th month salary
Performance bonus
Application Question(s):
May I know how long is your notice period?
Experience:
ReactJS: 2 years (Preferred)"
