Job Title,Job Link,Job ID,Company Name,Location,Job Posting,Salary,Job Description
IT GRC ANALYST - ASSOCIATE,https://malaysia.indeed.com/company/Archadian-Sdn-Bhd/jobs/IT-Analyst-806ec1e799661b67?fccid=e93c49751c0416e2&vjs=3,job_806ec1e799661b67,Archadian Sdn Bhd (Recruitment Firm),Mid Valley City,"Posted
Just posted","RM 8,000 - RM 12,000 a month","A Brief Summary of This Position:
The incumbent will be a vital force in our IT Governance, Risk & Compliance (GRC) program within the CIO's organization. Your key responsibilities will include driving global risk and compliance initiatives, specifically focusing on designing, evaluating, and managing client’s Third-Party Vendor Risk Management (TPRM) program. You will also conduct risk assessments, identify control gaps, recommend remediation plans, and monitor risk compliance. You will also closely coordinate with key stakeholders such as IT functional leaders and internal and external auditors. A profound understanding of key IT risks, the ability to assess control design and effectiveness, and the capacity to influence IT teams toward successful risk mitigation will be essential in your role.
Moreover, you'll oversee corporate IT controls and manage the risk register, significantly ensuring our IT operations' security. Your role is instrumental in streamlining our compliance procedures, reinforcing our risk management, and enhancing our IT security, which is critical to maintaining company’s robust, secure, and compliant operations.
Essential Functions:
This position reports to IT GRC Manager and has no direct or indirect reports.
IT Risk Management: Maintains Risk inventory to track identified IT issues and risks, including risk acceptances or risk remediation plans that address each risk. Provides governance, oversight, and reporting on issues and risks.
Business Continuity / Disaster Recovery: Develops, implements, maintains, and tests the Corporate Business Continuity program. Identifies, documents, and tests the business requirements for uptime against the infrastructure capabilities to implement appropriate recovery strategies and identify gaps/risks.
Lead collaboration efforts with IT value stream owners to define and implement effective control activities, processes and standards and document supporting policies and procedures
Consultation and assistance to IT Risk & Control Owners in the planning, design, implementation, operation, maintenance & remediation of control activities and other supporting requirements (e.g. policies, standards, processes, system configurations, etc.) as appropriate
Lead the planning, scoping, execution, and documentation of risk management activities in areas associated with technology and technology-related risks (e.g., cybersecurity)
Collaborate and educate Risk & Control Owners on all relevant requirements for self-assessment and compliance reviews
Provide actionable, technical advice to engineers to address and treat identified risks (including for cloud environments).
Work with internal teams to understand their business processes, how they manage risks, respond / advise on their compliance needs and concerns and remediate new and outstanding issues
Identify, validate, and assess security risks; develop, socialize, and guide engineering teams through risk treatment plans
Collaborate across teams fostering engagement and building relationships – while acting as an analyst and compliance advisor
Required Qualifications of Every Candidate (Education, Experience, Knowledge, Skills and Abilities):
·Preferred Bachelor’s in relevant field or Associates Degree with 3+ years relevant experience or 5+ years relevant experience
Possess an understanding of security management and/or information risk and compliance processes and industry frameworks (ISO27001, NIST, COBIT)
Experience performing cyber security risk assessment, business impact analysis, planning and reporting
Possesses foundational understanding of Risk Management concepts and principles.
Experience developing, implementing, and deploying IT risk management processes.
Knowledge of the policies, procedures and processes that govern an IT organization
Possesses foundational understanding of IT Concepts and principles.
Strong computer skills, including proficiency with MS Office suite, advanced Excel macros, data reformatting from multiple sources, GRC tools, OneTrust, AuditBoard, MS SharePoint, OS365, Power Aps and Power BI
Must be available for U.S. and international time zone meetings.
Flexible/remote schedule, however, must be able to work in the office on occasion.
Travel up to 10% (domestic and international), including overnight stays.
High level of initiative and self-motivation
Excellent written and verbal communication skills
Problem-solving, critical thinking, and analytical ability
Ability to work independently and as a part of a team in a fast-paced, dynamic environment.
Highly Qualified Candidates Will Also Possess These Qualifications:
Bachelor’s or Master’s degree in computer science, Computer Engineering, Information Systems, or related field
Six years of experience in information security risk and compliance with a broad knowledge of network, desktop and distributed server hardware and software solutions
Strong ability for self-understanding and translation of technological components for applications, databases, operating systems, utilities, tools and interfaces via vendor administration manuals
Industry certifications (e.g., CRISC, CISA, ITIL) is a plus
Must be able to work effectively with people at all levels, solve personal conflicts, understand and diagnose the causes of change resistance and initiate corrective action
Job Type: Permanent
Salary: RM8,000.00 - RM12,000.00 per month
Benefits:
Additional leave
Health insurance
Maternity leave
Opportunities for promotion
Parental leave
Professional development
Schedule:
Day shift
On call
Supplemental pay types:
13th month salary
Performance bonus
Ability to commute/relocate:
Mid Valley City: Reliably commute or planning to relocate before starting work (Required)
Experience:
risk and compliance: 3 years (Required)
Application Deadline: 10/25/2023"
"Executive, Maintenance Operations Centre",https://malaysia.indeed.com/rc/clk?jk=978688c46b3b4ab4&fccid=67292b82e4ae5f57&vjs=3,job_978688c46b3b4ab4,Malaysia Airlines,Kuala Lumpur,"Posted
Just posted",,"Reports To
Assistant Manager, Maintenance Operation Centre
Role Purpose
To performance aircraft defect analysis using various analytical tools and to provide solution to keep airplane airworthy and reliable for operation. The analyst is to generate work scope for preventive maintenance. This job has direct impact with the health of the aircraft.
Key Accountability
Prepare special maintenance requirement (SMR) for MRO to perform preventive and proactive maintenance.
Ensure aircraft deferred defects are tracked and studied the defect rectification requirement.
Analyze work done on the aircraft and ensure to meet CAAM and company standards
Analyze daily technical delay follow up, repetitive defects and defer defects.
Communicate with MOC operation and Phase Planning for effective planning and maintenance task loading.
Qualifications & Working Experience
Degree in Engineering technology in aircraft maintenance or avionics with 1 years Working experience in Engineering & Maintenance
Degree in Engineering in mechanical/electrical & electronics/aerospace/aeronautics with 1 years Working experience in Engineering & Maintenance
Skill & Knowledge
Able to liaise appropriately with the inter-departments, aircraft manufactures, vendors and other operators.
Able to maintain appropriate records for the alerting system.
Competent knowledge in Company procedure.
Competent knowledge in Part M and Part 145
Key Challenge
Analytical mind with statistical knowledge.
Understand defect management flow.
Understand basic AMOS
Understands the vision, values, and culture of the company, and develops goals with them in mind
Works diligently to accomplish all the established objectives
Regards multitasking as part of the job"
"Executive, Maintenance Operations Centre",https://malaysia.indeed.com/rc/clk?jk=56c439e9744b1a42&fccid=ac8950f16548b5ee&vjs=3,job_56c439e9744b1a42,Malaysia Airline,Kuala Lumpur,"Posted
Just posted",,"Position Title
Executive, Maintenance Operations Centre
Reports To
Assistant Manager, Maintenance Operation Centre
Role Purpose
To performance aircraft defect analysis using various analytical tools and to provide solution to keep airplane airworthy and reliable for operation. The analyst is to generate work scope for preventive maintenance. This job has direct impact with the health of the aircraft.
Key Accountability
Prepare special maintenance requirement (SMR) for MRO to perform preventive and proactive maintenance.
Ensure aircraft deferred defects are tracked and studied the defect rectification requirement.
Analyze work done on the aircraft and ensure to meet CAAM and company standards
Analyze daily technical delay follow up, repetitive defects and defer defects.
Communicate with MOC operation and Phase Planning for effective planning and maintenance task loading.
Qualifications & Working Experience
Degree in Engineering technology in aircraft maintenance or avionics with 1 years Working experience in Engineering & Maintenance
Degree in Engineering in mechanical/electrical & electronics/aerospace/aeronautics with 1 years Working experience in Engineering & Maintenance
Skill & Knowledge
Able to liaise appropriately with the inter-departments, aircraft manufactures, vendors and other operators.
Able to maintain appropriate records for the alerting system.
Competent knowledge in Company procedure.
Competent knowledge in Part M and Part 145
Key Challenge
Analytical mind with statistical knowledge.
Understand defect management flow.
Understand basic AMOS
Understands the vision, values, and culture of the company, and develops goals with them in mind
Works diligently to accomplish all the established objectives
Regards multitasking as part of the job"
L6 Assistant Manager Service Delivery,https://malaysia.indeed.com/rc/clk?jk=fcc02b81e0844e19&fccid=b25343f021fb51d7&vjs=3,job_fcc02b81e0844e19,Mercedes-Benz Services Malaysia Sdn Bhd,Kuala Lumpur,"Posted
Just posted",,"Job category:
Finanzen / Leasing & Banking
Department:
One HUB
Organization:
Mercedes-Benz Services Malaysia Sdn Bhd
Location:
Mercedes-Benz Services Malaysia Sdn Bhd (Financial Services), Kuala Lumpur
Start date:
immediately
Publication date:
02.10.2023
Job number:
MER0002S62
Tasks
The Mercedes-Benz Group AG is one of the most successful automotive companies in the world. With Mercedes-Benz AG and the divisions Mercedes-Benz Cars, Mercedes-Benz Vans and Mercedes-Benz Mobility AG, the vehicle manufacturer is one of the largest and most successful suppliers of premium passenger cars.
The Operations & Credit Operations- OneHUB is responsible for creation of a framework to implement centralized and integrated business operations centers on three continents, delivering the most efficient processes to our customers. Our aim is to have the First OPS Hub ""live"" with operational readiness reached for pilot markets, designed as a scalable blueprint for Global Operations Hubs. With the Hub, we will reduce operational costs while ensuring a standardised luxury customer experience. It will also help us to be one step ahead of our competitors and to balance phases of high and low demand, and therefore improving overall competitiveness and efficiency. Additionally, our operating model will be enhanced with the best of industry and global MBM best practices.
We are a global team with international and diverse experience, co-located on multiple continents. We are committed to an Agile mindset, working with the Scrum and Scaled Agile Framework (SAFe) methodologies in a hybrid working arrangement. The team displays a very high commitment to our objectives and is determined to go the extra mile to achieve them. We place a high value on communicating directly and as equals in regular meetings. We also believe it is important to be constructive and honest. The team believes in customer collaboration and quick response to change. Working for one of the Must-Wins for MBM, you will be responsible for subprojects and a wide range of exciting tasks with a considerable impact on the entire organization.
This role is responsible to:
Be a bridger between business team and developer
Gathering, validating and documenting business requirements
Modelling business processes and identifying opportunities for process improvements
Identifying issues, risks and benefits of existing and proposed solutions and outlining business impacts.
Your tasks will be:
Assist in documentation of Requirement specifications (RS) and Functional Specifications (FS)
Analysis of the Change requests from various Markets and initiation of change management process.
Assist the business unit in creating/ reviewing test scenarios cases for UAT
Assist the business in testing activities and lead the UAT for small business units
To coordinate with vendor and assist in solution finalization discussions by ensuring appropriate use of Mercedes-Benz IT project management tools, governance, processes, policies and methodologies.
Conduct regular status meetings with all stakeholders, keeping the stakeholder’s needs and requirements continuously in view
Qualifications
Qualifications:
Bachelor’s Degree (Computer Science) / Master’s Degree in Information technology or Engineering or Finance
At least 5-7 years of IT experience, preferably with working experience in multi-cultural organization
Have been involved as Business Analyst for a full system implementation (end to end SDLC). Project Management will be an advantage
Team player – good interpersonal & communication skills in an international context
Excellent project management and presentation skill; Able to travel occasionally
Planning, organising, and controlling skills to be able to manage highly complex changes to the service landscape
Very good skills in documenting the requirements
Good to have experience in JIRA
Excellent business process knowledge on Loan Origination, Credit Assessment to Loan Management
Good to have knowledge on Salesforce
Knowledge on financial serviced domain, Change management, release management, Scrum and Project management

Soft skills:
Has a positive attitude, able to understand client needs and document requirements.
Takes responsibility as subject matter expert
Outside the box thinking and adaptability. Can pick up new approaches and apply them to the area of responsibility

Benefits
Mitarbeiterhandy möglich
Gesundheitsmaßnahmen
Mitarbeiterrabatte möglich
Mitarbeiter Events
Betriebliche Altersversorgung
Coaching
Flexible Arbeitszeit möglich
Firmenwagen möglich
Gute Anbindung
Contact
Mercedes-Benz Services Malaysia Sdn Bhd
16A Jalan BK 1/13
47180 Puchong
Details to location
HR MBSM
E-Mail: mbsm_hr@mercedes-benz.com"
Network Engineer,https://malaysia.indeed.com/rc/clk?jk=a569c89617e8bcc4&fccid=5be2638fdffce404&vjs=3,job_a569c89617e8bcc4,Stylus Asia,Kuala Lumpur,"Posted
Just posted",,"Network Engineers are responsible for designing, implementing, monitoring and managing the local and wide area networks of an organisation to ensure maximum uptime for users. The role can include designing system configurations, documenting and managing the installation of a new network, and maintaining and upgrading existing systems as necessary.
Network Engineer duties and responsibilities of the job
Network Engineers will work in-house or be assigned to project management teams working with outside clients. As part of an organisation’s IT team, Network Engineers work closely with Business Analysts, Network Architects and IT Managers. A Network Engineer job description can therefore comprise of:
Designing and implementing new network solutions and/or improving the efficiency of current networks
Installing, configuring and supporting network equipment including routers, proxy servers, switches, WAN accelerators, DNS and DHCP
Procuring network equipment and managing subcontractors involved with network installation
Configuring firewalls, routing and switching to maximise network efficiency and security
Maximising network performance through ongoing monitoring and troubleshooting
Arranging scheduled upgrades
Investigating faults in the network
Updating network equipment to the latest firmware releases
Reporting network status to key stakeholders
Network Engineer job qualifications and requirements
Holding a degree and having a technical background will be required to gain a Network Engineer role.
As well as formal qualifications, a Network Engineer job description should include the following qualities:
An analytical mind
An ability to learn new technologies quickly
Good time management skills
An ability to follow processes
Strong documentation skills
Good communication skills – both written and verbal
Commercial and business awareness"
"L6 Assistant Manager, Operational Reporting",https://malaysia.indeed.com/rc/clk?jk=cb166d53bd70a7bf&fccid=b25343f021fb51d7&vjs=3,job_cb166d53bd70a7bf,Mercedes-Benz Services Malaysia Sdn Bhd,Kuala Lumpur,"Posted
Just posted",,"Job category:
IT / Telekommunikation
Department:
One X AAP
Organization:
Mercedes-Benz Services Malaysia Sdn Bhd
Location:
Mercedes-Benz Services Malaysia Sdn Bhd (Financial Services), Kuala Lumpur
Start date:
immediately
Publication date:
02.10.2023
Job number:
MER0002TMM
Tasks
Objective of the job :

The IT Data Specialist/Reporting professional supports organization to manage application databases, monitor database performance, interpret raw data and present the same into meaningful MIS. Reporting specialists work with other members to develop new report requirements or the revision of current reports. They are also responsible to comply with A22 Policy compliance topics and implement various tools for data analysis purposes.

Job responsibility:
Using automated tools to extract data from primary and secondary sources
Developing and maintaining databases, and data systems – reorganizing data in a readable format
Performing analysis to assess the quality and meaning of data
Filter Data by reviewing reports and performance indicators to identify and correct code problems
Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets could be helpful for the diagnosis and prediction
Assigning numerical value to essential business functions so that business performance can be assessed and compared over periods of time.
Preparing reports for the management stating trends, patterns, and predictions using relevant data
Another integral element of the data analyst job description is EDA or Exploratory Data Analysis Project. In such data analyst projects, the analyst needs to scrutinize data to recognize and identify patterns. The next thing data analysts do is use data modeling techniques to summarize the overall features of data analysis.
Would require to deliver Business Reports for hub as well as markets using any reporting tool both routine & adhoc
Consulting with internal customers to develop analyses that lead to actionable insights that accelerate profitable growth
Lead the design and development of analytical project designed to understand key business behaviors that drive customer acquisition, retention, and engagement
Identify opportunities to develop forecasts, statistical models, segmentation schemes, and data-driven analyses to drive marketing and merchandising efforts around customer acquisition and conversion
Implement IT Security concepts based on global Mercedes-Benz IT & IT Financial Services standards and local regulations
Implement appropriate measures to ensure data protection and data security.

Qualifications
Bachelor’s Degree/ Master’s Degree in Information Technology or equivalent is required
Minimum 5-7 years of IT experience, preferably with working experience in multi-cultural organization
Team player – good interpersonal & communication skills in an international context
Experience working in finance-related projects or finance company
Experience in Cognos Report Studio, FM, Query studio, SSIS, SSRS, SSAS, SQL Query, Power BI, tools like Spire/Extello
Strong verbal and written command of English and good computer literacy (Microsoft Office)
Cleansing and preparing data
Analyzing and exploring data
Expertise in statistics
Analyzing and visualizing data
Reports and dashboards
Communication and writing
Expertise in the domain
Solution-oriented
Benefits
Mitarbeiterhandy möglich
Gesundheitsmaßnahmen
Mitarbeiterrabatte möglich
Mitarbeiter Events
Betriebliche Altersversorgung
Coaching
Flexible Arbeitszeit möglich
Firmenwagen möglich
Gute Anbindung
Contact
Mercedes-Benz Services Malaysia Sdn Bhd
16A Jalan BK 1/13
47180 Puchong
Details to location
HR MBSM
E-Mail: mbsm_hr@mercedes-benz.com"
Senior Information Security Compliance Analyst,https://malaysia.indeed.com/rc/clk?jk=4a7de35f02c79eb2&fccid=fa794d7aa4d73a51&vjs=3,job_4a7de35f02c79eb2,Media.Monks,Kuala Lumpur,"Posted
Today",,"Position description:
This position is intended to be involved in the implementation and improvement of administrative and technical controls of the company's Information Security Management System. This person should understand the risk assessment process to detect new threats, contribute in the action plan development and promote the progress of control implementation and evolution. The position will cover compliance activities, third parties risk assessments, management of clients requirements, internal awareness and technical controls evaluation.

Key accountabilities:
Contribute with the implementation of the global ISMS (based on ISO27001) over the region.
Evaluate the compliance status of processes and technology implementations and plan actions to align to the security framework.
Identify risk related to information security in the technical environment, the relationships with third parties or any component of the company's context.
Understand about technical and administrative controls in the different areas: networking, operations, access management, SSDLC, cloud security, end-point protection, physical security, third party risk assessment, organization security and legal compliance.
Act as a point of contact for third parties questions regarding information security.
Analyze clients requirements regarding information security and evaluate their accuracy. Follow up the actions needed to comply with those requirements.
Identify security threats and risks over processes, conducts, technology and context which may affect the information confidentiality, integrity or availability..
Assist in the definition and construction of security measures to lower the risks identified.
Solve low complex issues independently with minimum supervision and escalate more complex issues to accurate staff.
Contribute in the development of awareness material and the process of delivery and measurement.
Perform routine activities to ensure compliance with security frameworks and legislation.
Investigate on technologies that could improve the security baseline and the compliance (e.g. DLP, end-point protection, network security, security and vulnerabilities assessment).

Minimum Qualifications:
Bachelor's degree in Computer Science, Computer or Systems Engineering or equivalent.
Minimum of 5 years of experience in related positions.
Solid knowledge of security on networking, cloud, infrastructure configuration, end-point protection and SDLC.
Knowledge of the standards ISO 27001/2, SOC2, NIST-800.

Qualities:
Good communication and social skills.
Ability to confidently present findings to those with either a technical or non-technical background.
Self-directed, resourceful, and a critical thinker with attention-to-detail and proactive problem-solving skills.
Ability to self-organize and plan activities with commitment towards results.
Ready to learn new contents both from others or self-learned.
Looking forward to self-improvement and suggesting improvements to processes or activities.

Preferred Qualifications:
+2 year of experience in Security Risk Management, Information Security, Security controls or Security/IT Audit
Information Security Certification (e.g. CISSP, Comptia Sec, CISM, CRISC, etc)
#LI-CX1
About Media.Monks:
Media.Monks is the purely digital operating brand of S4Capital plc that connects 8,600+ digital natives across one global team. We are united by a mission to shift industries forward and pave the path towards ambitious outcomes so our clients and our people can realize their full potential for growth. Our unified model combines solutions in media, data, social, platforms, studio, experience, brand and technology services to help our clients continuously reinvent themselves throughout increasingly rapid cycles of disruption. Our efforts to shape culture, build innovative technologies and unlock the future of growth have earned recognition from numerous esteemed panels: we maintain a constant presence on Adweek's Fastest Growing lists (2019-22), regular recognition at Cannes Lions, inclusion in AdExchanger's Programmatic Power Players (2020-23), the title of Webby Production Company of the Year (2021-23), a record number of FWAs, and have earned a spot on Newsweek's Top 100 Global Most Loved Workplaces 2023. Together, these achievements solidify our experience in digital innovation, excellence in craft, and commitment to personal growth.
While we continue to grow our teams, please be mindful of fraudulent job postings and recruiting activities that may use our company name and information. Please be mindful to protect your personal information, especially your national identification number, and bank account information during a recruiting process. While Media.Monks may reach out to potential candidates via LinkedIn, we will always ask applicants to apply through our website (https://media.monks.com/careers) and will never ask for payment or bank account information during the recruitment process.
Disclaimer:
Responsible for resourcing and implementing security controls for your teams processes and systems
Responsible that all your personnel apply information security in accordance with the established information security policy"
SEA- IT Senior Analyst,https://malaysia.indeed.com/rc/clk?jk=a77a0655656b1d70&fccid=9e215d88a6b33622&vjs=3,job_a77a0655656b1d70,Deloitte,Kuala Lumpur,"Posted
Today",,"SEA- IT Senior Analyst
Date: 18 Oct 2023
Service Line / Portfolios: Information Technology
Location: Kuala Lumpur, MY
Title: SEA- IT Senior Analyst

Are you ready to unleash your potential?

At Deloitte, our purpose is to make an impact that matters for our clients, our people, and the communities we serve.

We believe we have a responsibility to be a force for good, and WorldImpact is our portfolio of initiatives focused on making a tangible impact on society’s biggest challenges and creating a better future. We strive to advise clients on how to deliver purpose-led growth and embed more equitable, inclusive as well as sustainable business practices.

Hence, we seek talented individuals driven to excel and innovate, working together to achieve our shared goals.

We are committed to creating positive work experiences that foster a culture of respect and inclusion, where diverse perspectives are celebrated, and everyone is recognised for their contributions.

Ready to unleash your potential with us? Join the winning team now!

Work you’ll do
Record and manage user identities.
Ensures that access privileges are granted according to one interpretation of policy.
All individuals and services are properly authenticated, authorized and audited.
Ensure SLAs are met for daily operations of IAM team including provisioning, terminations, access changes.
Develop reporting metrics for team in order to monitor productivity and quality.
Do a periodic user access review to monitor and verify the appropriateness of a user’s access to system and application.
Maintains complete knowledge of and comply with all departmental policies/ procedures/standards.
Keeps current knowledge of programs, application and operating systems supported by the department of Identify Access Management to include the management of and understanding of profiles and associated permissions.
Provision and de-Provision access for all systems, applications and operating systems supported by the department of Identify Access Management within a service level agreement of 24-hours.
Performs monthly and quarterly reviews of system users to ensure role based access is enforced and that all system users are authorized and appropriately provisioned.
Maintains a smooth operation of multi-user computer systems, including coordination with network administrators.
Reviews and makes recommendations for current security policies and procedures to ensure their adequacy and effectiveness to maintain information security and protect systems from unauthorized use, acts of nature and user abuse in accordance with internal controls.
Supports security requests pertaining routine IT control audits and risk assessments.
Stays current with technological developments in system security and recommends ways for the company to take advantage of new technologies and improve information security.


Your role as a leader

At Deloitte, we believe in the importance of empowering our people to be leaders at all levels. We connect our purpose and shared values to identify issues as well as to make an impact that matters to our clients, people and the communities. Additionally, Associates / Analysts / Consultants across our Firm are expected to:

Demonstrate a strong commitment to personal learning and development.
Understand how our daily work contributes to the priorities of the team and business.
Understand the set expectations and demonstrate accountability in keeping personal performance on track.
Actively focus on developing effective communications and relationship-building skills with stakeholders, clients and team.
Demonstrate an appreciation for working with others.
Understand what is fundamental to Deloitte’s success as a business.
Demonstrate integrity and an awareness of strengths, differences, and personal impact.
Develop their understanding of Deloitte and offer a fresh perspective.


Requirements

Must have 2-3 years’ experience in provisioning and de-provisioning network and system access within a fast paced and demanding Information Technology environment.
Experience with system audit, profile review, internal and external regulatory controls , industry standards such as SOX, ITIL, ISO.
Candidate must possess a University degree or a diploma in relevant field is preferred.
Familiar with Role Based Access methodologies to include the application and implementation.
Requires a strong understanding of security controls in a Microsoft Windows environment to include operating systems, folders and share drive management.
Strong analytical skills to identify security issues and implement solutions.
Ability to perform multiple tasks concurrently.
General understanding of existing identity data in disparate systems (including Active Directory).
Experience with Microsoft Forefront Identity Manager.


Due to volume of applications, we regret only shortlisted candidates will be notified.

Requisition ID: 100849
In Malaysia, the services are provided by Deloitte and other related entities in Malaysia (""Deloitte in Malaysia""), which are affiliates of Deloitte Southeast Asia Ltd. Deloitte Southeast Asia Ltd is a member firm of Deloitte Touche Tohmatsu Limited. Deloitte in Malaysia, which is within the Deloitte Network, is the entity that is providing this Website."
Information Security Compliance Analyst,https://malaysia.indeed.com/rc/clk?jk=6a4f63f899227138&fccid=fa794d7aa4d73a51&vjs=3,job_6a4f63f899227138,Media.Monks,Kuala Lumpur,"Posted
Today",,"Position description:
This position is intended to be involved in the implementation and improvement of administrative and technical controls of the company's Information Security Management System. This person should understand the risk assessment process to detect new threats, contribute in the action plan development and promote the progress of control implementation and evolution. The position will cover compliance activities, third parties risk assessments, management of clients requirements, internal awareness and technical controls evaluation.

Key accountabilities:
Lead the implementation of the global ISMS (based on ISO27001) over the APAC region.
Evaluate the compliance status of processes and technology implementations and plan actions to align to the security framework.
Identify risk related to information security in the technical environment, the relationships with third parties or any component of the company's operations.
Understand about technical and administrative controls in the different areas: networking, operations, access management, SSDLC, cloud security, end-point protection, physical security, third party risk assessment, organization security and legal compliance.
Act as a point of contact for third parties questions regarding information security.
Analyze clients requirements regarding information security and evaluate their accuracy. Follow up the actions needed to comply with those requirements.
Identify security threats and risks over processes, conducts, technology and context which may affect the information confidentiality, integrity or availability..
Assist in the definition and construction of security measures to lower the risks identified.
Solve low complex issues independently with minimum supervision and escalate more complex issues to accurate staff.
Contribute in the development of awareness material and the process of delivery and measurement.
Perform routine activities to ensure compliance with security frameworks and legislation.
Investigate on technologies that could improve the security baseline and the compliance (e.g. DLP, end-point protection, network security, security and vulnerabilities assessment).

Minimum Qualifications:
Bachelor's degree in Computer Science, Computer or Systems Engineering or equivalent.
Minimum of 3 years of experience in related positions.
Solid knowledge of security on networking, cloud, infrastructure configuration, end-point protection and SDLC.
Knowledge of the standard ISO 27001/2.
English fluent (written and oral)

Qualities:
Excellent communication and social skills.
Ability to confidently present findings to those with either a technical or non-technical background.
Self-directed, resourceful, and a critical thinker with attention-to-detail and proactive problem-solving skills.
Ability to self-organize and plan activities with commitment towards results.
Ready to learn new contents both from others or self-learned.
Passionate about self-improvement and suggesting improvements to processes or activities.

Preferred Qualifications:
+1 year of experience in Security Risk Management, Information Security, Security controls or Security/IT Audit
Information Security Certification (e.g. CISSP, Comptia Sec, CISM, CRISC, etc)
ISO27001 Lead Implementer/Auditor
#LI-CX1
About Media.Monks:
Media.Monks is the purely digital operating brand of S4Capital plc that connects 8,600+ digital natives across one global team. We are united by a mission to shift industries forward and pave the path towards ambitious outcomes so our clients and our people can realize their full potential for growth. Our unified model combines solutions in media, data, social, platforms, studio, experience, brand and technology services to help our clients continuously reinvent themselves throughout increasingly rapid cycles of disruption. Our efforts to shape culture, build innovative technologies and unlock the future of growth have earned recognition from numerous esteemed panels: we maintain a constant presence on Adweek's Fastest Growing lists (2019-22), regular recognition at Cannes Lions, inclusion in AdExchanger's Programmatic Power Players (2020-23), the title of Webby Production Company of the Year (2021-23), a record number of FWAs, and have earned a spot on Newsweek's Top 100 Global Most Loved Workplaces 2023. Together, these achievements solidify our experience in digital innovation, excellence in craft, and commitment to personal growth.
While we continue to grow our teams, please be mindful of fraudulent job postings and recruiting activities that may use our company name and information. Please be mindful to protect your personal information, especially your national identification number, and bank account information during a recruiting process. While Media.Monks may reach out to potential candidates via LinkedIn, we will always ask applicants to apply through our website (https://media.monks.com/careers) and will never ask for payment or bank account information during the recruitment process.
Disclaimer:
Responsible for resourcing and implementing security controls for your teams processes and systems
Responsible that all your personnel apply information security in accordance with the established information security policy"
FP&A Enablement Analyst - Admin,https://malaysia.indeed.com/rc/clk?jk=35b8e7fa8a223e16&fccid=77087bd1709a8148&vjs=3,job_35b8e7fa8a223e16,Michael Page,Kuala Lumpur,"Posted
Today",,"Regional exposure
Career advancement
About Our Client
Since their modest beginnings in 1972, in a greenfield site in Ireland, Kerry Group has grown from strength to strength to become a leading player in the global food and beverage industry.

This journey has been one of dynamic growth and strategic acquisition. As an organisation, Kerry Group never stands still and they are clear with their colleagues, customers and stakeholders; who they are, what they do, how they do it, where they are going and why they matter - they call this The Kerry Way.
Job Description
Report Management to the Finance Business Partner on Global Scorecard delivery against key milestones.
Escalation and follow up with HR & Finance Teams on incorrect or incomplete system data.
Work with Finance Business Partners to improve Scorecard database and front-end user interface system and ensure data accuracy & integrity.
Work with Finance Business Partners to capture annual Business Value Driver KPI's and develop the appropriate functional STIP KPI families.
Work with Regional HR / Reward teams to gather STIP Participant master data and manage joiners, leavers and movers process to ensure master data accuracy.
Responsible for processing and issuing annual scorecards for all regions by agreed deadlines.
Responsible for on time collection and processing of mid-year and year end Scorecard results data for all regions from the regional Finance teams by agreed deadlines.
Responsible for preparing and delivering final scorecard outturn %'s for sign off by Regional CEO's/CFO's and accurate transmission of signed off %'s to the Global and Regional Reward teams for processing by agreed deadlines.
Responsible for extracting information related to Financial Services (AP, AR, RTR) KPIs to feed Power BI dashboards.
Ensure data integrity of downloads & final reporting outputs.
Collaborate with the Data Analytics team & Global FS Process owners when required, e.g., new reporting needs, enhancements to existing extracts.
The Successful Applicant
Finance or Business Administration qualification.
3-5 years' experience in data administration, finance reporting.
Knowledge of SAP, EPM, Power BI is an advantage.
Intermediate Excel & PowerPoint skills
What's on Offer
Kerry Global Business services (GBS) is an integral enabler of Kerry's vision to be our Customer's most valued planner, creating a world of sustainable nutrition.There are five key elements of our success:* We are a key enabler for Kerry's vision - We enable the business, by making it easier for everyone to deliver, to allow a focus on commercial excellence
We focus on continuous excellence - We apply continuous excellence to everything we do, eliminating waste and optimising our services across functions
We purposefully manage and develop talent - We attract and nurture talent to deliver innovative, digital business solutions and services
We are anchored in our operating model - Through our scaleable platform, we support Kerry's strategic growth objectives
We win together as true partners - We unlock value by providing best in class solutions and services across all of Kerry"
